                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                  1.182,                 5.0521,                 1.0532,                      0,                      0,                      0,                      0,                 1.4432,                 6.2189,                 1.2718,             1.2351e-05,             1.2351e-05,             1.2351e-05
                     37,                 1.1739,                   4.99,                 1.0527,                      0,                      0,                      0,                      0,                 1.4578,                 6.2108,                 1.2752,             1.2512e-05,             1.2512e-05,             1.2512e-05
                     38,                 1.0106,                 5.1149,                 1.0127,                      0,                      0,                      0,                      0,                 1.4458,                 6.1911,                 1.2597,             1.2661e-05,             1.2661e-05,             1.2661e-05
                     39,                 1.0106,                 4.8192,                 1.0243,                      0,                      0,                      0,                      0,                 1.4316,                 6.1762,                 1.2542,               1.28e-05,               1.28e-05,               1.28e-05
                     40,                 1.1854,                 5.0278,                 1.0176,                      0,                      0,                      0,                      0,                 1.4244,                 6.1657,                  1.253,             1.2929e-05,             1.2929e-05,             1.2929e-05
                     41,                  1.098,                 4.8426,                  0.998,                      0,                      0,                      0,                      0,                 1.4213,                 6.1506,                 1.2502,             1.3046e-05,             1.3046e-05,             1.3046e-05
                     42,                0.99529,                 4.6646,                 1.0326,                      0,                      0,                      0,                      0,                 1.4184,                 6.1247,                 1.2444,             1.3153e-05,             1.3153e-05,             1.3153e-05
                     43,                0.72314,                 4.4982,                0.96957,                      0,                      0,                      0,                      0,                 1.4078,                 6.1284,                 1.2393,              1.325e-05,              1.325e-05,              1.325e-05
                     44,                0.94027,                 4.5492,                0.97494,                      0,                      0,                      0,                      0,                 1.4074,                 6.1198,                 1.2374,             1.3335e-05,             1.3335e-05,             1.3335e-05
                     45,                 1.0156,                 4.5898,                0.98653,                      0,                      0,                      0,                      0,                 1.4144,                 6.1051,                 1.2422,              1.341e-05,              1.341e-05,              1.341e-05
                     46,                0.87748,                 4.4322,                 1.0001,                      0,                      0,                      0,                      0,                  1.413,                  6.104,                 1.2432,             1.3474e-05,             1.3474e-05,             1.3474e-05
                     47,                 1.0375,                 4.5366,                0.99667,                      0,                      0,                      0,                      0,                 1.4087,                 6.1079,                 1.2434,             1.3528e-05,             1.3528e-05,             1.3528e-05
                     48,                   1.14,                 4.6816,                0.98358,                      0,                      0,                      0,                      0,                 1.4068,                 6.1009,                 1.2398,             1.3571e-05,             1.3571e-05,             1.3571e-05
                     49,                0.92131,                 4.3867,                 1.0172,                      0,                      0,                      0,                      0,                 1.4142,                 6.0879,                 1.2435,             1.3603e-05,             1.3603e-05,             1.3603e-05
